dv_any_lifetime,age_group,marital_status,education_level,earns_income,employment_status,disability_status,spouse_income_relation,locality_type,feels_unsafe_home,conflict_frequency,food_insecurity_score,feels_unsafe_day,feels_unsafe_night,combined_safety_index,dv_common_perception,vaw_problem_perception,mobility_frequency,dv_physical,dv_verbal,dv_economic,dv_other,dv_sexual,will_seek_help_dv,help_source_dv,will_seek_help_harass,help_source_harass,unsafe_reason_1,unsafe_reason_2,unsafe_reason_3,unsafe_reason_4,unsafe_reason_5,unsafe_reason_6,unsafe_reason_7,unsafe_reason_8,unsafe_reason_9,unsafe_reason_10,unsafe_reason_11,food_insec
Others,18 – 29 years,Living with Partner,Technical / vocational,No,Other,"No, I don’t have difficulties",NA,Urban,No,Don't know,Several coping mechanisms (5-8),Not very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Don't know,Don't know,Daily,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Seek support from family,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
Others,30 – 39 years,Single,Technical / vocational,No,Unemployed,"No, I don’t have difficulties",NA,Urban,No,Never,No coping mechanisms,Not very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,Daily,Don't know,Don't know,Don't know,Don't know,Don't know,No,NA,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Others,18 – 29 years,Living with Partner,Less than primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Never,Several coping mechanisms (5-8),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Don't know,Not at all,2-3 times per week,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Don't know,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
Others,40 – 49 years,Living with Partner,Technical / vocational,NA,Employed,"No, I don’t have difficulties",Same,Urban,No,Once or twice,Several coping mechanisms (5-8),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,A little bit,Daily,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
Others,18 – 29 years,Living with Partner,Completed secondary,No,Other,"No, I don’t have difficulties",NA,Urban,No,Never,Several coping mechanisms (5-8),Not very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,Don't know,Once a week,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
Others,18 – 29 years,Single,Technical / vocational,Yes,Student,"No, I don’t have difficulties",NA,Urban,No,Once or twice,No coping mechanisms,Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Don't know,Don't know,2-3 times per week,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Seek support from family,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Others,60 years and older,Widowed,Completed secondary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Once or twice,No coping mechanisms,Not very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Don't know,Don't know,Once a week,Don't know,Don't know,Don't know,Don't know,Don't know,No,NA,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Others,60 years and older,Living with Partner,Technical / vocational,No,Employed,"No, I don’t have difficulties",NA,Urban,No,Monthly,No coping mechanisms,Safe,Safe,Feels safe,Don't know,Don't know,2-3 times per week,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Seek support from family,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Others,18 – 29 years,Living with Partner,Technical / vocational,NA,Employed,"No, I don’t have difficulties",Same,Urban,No,NA,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Don't know,Don't know,Daily,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Seek support from family,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
Others,50 – 59 years,Single,Technical / vocational,Don't know,Unemployed,"No, I don’t have difficulties",NA,Urban,No,NA,Several coping mechanisms (5-8),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Don't know,Don't know,Daily,Don't know,Don't know,Don't know,Don't know,Don't know,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
Others,60 years and older,Widowed,Completed primary,Yes,Fulltime caretaker,"Yes, I have difficulties",NA,Urban,No,Never,No coping mechanisms,Safe,Safe,Feels safe,Don't know,Don't know,Never,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Seek support from a religious leader,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Others,60 years and older,Widowed,Completed primary,Yes,Fulltime caretaker,"Yes, I have difficulties",NA,Urban,No,Once or twice,No coping mechanisms,Safe,Safe,Feels safe,Don't know,Don't know,Once a week,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,NA,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Others,60 years and older,Widowed,Completed primary,Yes,Fulltime caretaker,"Yes, I have difficulties",NA,Urban,No,Once or twice,Several coping mechanisms (5-8),Don't know,Don't know,DK/Refusal,Don't know,Don't know,Once or twice a month,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Seek support from family,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
Others,40 – 49 years,Living with Partner,College,NA,Employed,"No, I don’t have difficulties",Less,Urban,No,Monthly,No coping mechanisms,Very safe,Very safe,Feels safe,Uncommon,A little bit,Daily,Don't know,No,Don't know,Don't know,Don't know,Yes,"Other, specify",Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Others,50 – 59 years,Widowed,College,No,Other,"Yes, I have difficulties",NA,Urban,No,Never,No coping mechanisms,Safe,Very safe,Feels safe,Don't know,Not at all,Once or twice a month,Don't know,No,Don't know,Don't know,Don't know,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Others,18 – 29 years,Living with Partner,Technical / vocational,NA,Employed,"No, I don’t have difficulties",Less,Rural,No,Once or twice,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,Somewhat,Daily,Don't know,No,Don't know,Don't know,Don't know,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Others,40 – 49 years,Living with Partner,Less than primary,NA,Employed,"No, I don’t have difficulties",N/A,Rural,No,Never,Several coping mechanisms (5-8),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Daily,Don't know,No,Don't know,Don't know,Don't know,Yes,Seek support from family,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
Yes,30 – 39 years,Living with Partner,Completed primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Once or twice,No coping mechanisms,Safe,Safe,Feels safe,Common,A little bit,Daily,Don't know,Yes,Don't know,Don't know,Don't know,Yes,Seek support from family,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Yes,60 years and older,Living with Partner,Completed primary,No,Fulltime caretaker,"Yes, I have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Not very safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Common,A little bit,2-3 times per week,Don't know,Yes,Don't know,Don't know,Don't know,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Yes,30 – 39 years,Living with Partner,Less than primary,No,Other,"Yes, I have difficulties",NA,Urban,No,Monthly,Several coping mechanisms (5-8),Not very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,Don't know,2-3 times per week,Don't know,Yes,Don't know,Don't know,Don't know,Yes,Seek support from family,Yes,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
Yes,60 years and older,Widowed,Completed primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Daily,No coping mechanisms,Very safe,Safe,Feels safe,Common,A little bit,Never,Don't know,Yes,Don't know,Don't know,Don't know,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Yes,30 – 39 years,Single,College,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,Don't know,Daily,Don't know,Yes,Don't know,Don't know,Don't know,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
Others,40 – 49 years,Living with Partner,Completed secondary,NA,Employed,"Yes, I have difficulties",Less,Urban,Yes,Daily,No coping mechanisms,Safe,Safe,Feels safe,Common,A little bit,Daily,Don't know,Don't know,No,Don't know,Don't know,Yes,Seek help from shelter or safehouse for women,Yes,Seek help from shelter or safehouse for women,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,0
Others,60 years and older,Widowed,Completed primary,No,Fulltime caretaker,"Yes, I have difficulties",NA,Urban,No,Monthly,Several coping mechanisms (5-8),Very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,A little bit,Once a week,Don't know,Don't know,No,Don't know,Don't know,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
Others,40 – 49 years,Living with Partner,Completed primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,Yes,Never,Several coping mechanisms (5-8),Not safe at all,Not safe at all,Feels unsafe/Sometimes feels unsafe,Don't know,A little bit,Once a week,Don't know,Don't know,No,Don't know,Don't know,Yes,Call/go to police,Yes,Call/go to police,No,Yes,No,No,No,No,No,No,No,No,No,8
Others,30 – 39 years,Living with Partner,Post College,NA,Employed,"No, I don’t have difficulties",More,Urban,No,Never,No coping mechanisms,Very safe,Very safe,Feels safe,Very uncommon,Not at all,Daily,Don't know,Don't know,No,Don't know,Don't know,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,Seeking support from women’s groups/NGOs/CSOs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Others,40 – 49 years,Living with Partner,Less than primary,NA,Employed,"No, I don’t have difficulties",Less,Urban,Yes,Once or twice,Some coping mechanisms (1-4),Very safe,Very safe,Feels safe,Common,Don't know,Daily,Don't know,Don't know,No,Don't know,Don't know,No,NA,Yes,Seek support from family,No,No,No,No,No,No,Yes,No,No,No,No,4
Others,60 years and older,Single,Less than primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Once or twice,No coping mechanisms,Safe,Safe,Feels safe,Don't know,Don't know,Never,Don't know,No,No,Don't know,Don't know,Don't know,NA,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Others,18 – 29 years,Single,Completed secondary,No,Student,"No, I don’t have difficulties",NA,Urban,No,NA,Some coping mechanisms (1-4),Very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Daily,Don't know,No,No,Don't know,Don't know,Yes,Seek support from family,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Others,18 – 29 years,Single,Completed secondary,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Very uncommon,Don't know,Daily,Don't know,No,No,Don't know,Don't know,Yes,Don't know,Yes,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Yes,40 – 49 years,Living with Partner,College,No,Fulltime caretaker,"Yes, I have difficulties",NA,Urban,No,Daily,Some coping mechanisms (1-4),Very safe,Safe,Feels safe,Uncommon,A little bit,Once a week,Don't know,Don't know,Yes,Don't know,Don't know,Yes,Seek support from family,Yes,"Other, specify",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Yes,40 – 49 years,Living with Partner,Completed primary,No,Fulltime caretaker,"Yes, I have difficulties",NA,Rural,No,Monthly,Several coping mechanisms (5-8),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Don't know,Not at all,Never,Don't know,Don't know,Yes,Don't know,Don't know,Yes,Seek help from shelter or safehouse for women,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
Yes,30 – 39 years,Living with Partner,Completed secondary,NA,Employed,"No, I don’t have difficulties",Less,Rural,No,Monthly,Several coping mechanisms (5-8),Safe,Safe,Feels safe,Common,Not at all,2-3 times per week,Don't know,Don't know,Yes,Don't know,Don't know,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
Yes,30 – 39 years,Living with Partner,Less than primary,No,Other,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Several coping mechanisms (5-8),Safe,Safe,Feels safe,Common,Not at all,Daily,Don't know,Don't know,Yes,Don't know,Don't know,Yes,Seek support from family,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
Yes,18 – 29 years,Single,College,Yes,Other,"No, I don’t have difficulties",NA,Urban,No,Weekly,Several coping mechanisms (5-8),Very safe,Safe,Feels safe,Uncommon,Somewhat,2-3 times per week,Don't know,No,Yes,Don't know,Don't know,Yes,Approach community leaders for support,Yes,Seeking support from women’s groups/NGOs/CSOs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
Yes,30 – 39 years,Living with Partner,College,NA,Employed,"No, I don’t have difficulties",More,Urban,No,Monthly,Some coping mechanisms (1-4),Very safe,Very safe,Feels safe,Uncommon,Not at all,Daily,Don't know,Yes,Yes,Don't know,Don't know,Yes,Seek support from family,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Yes,50 – 59 years,Single,Completed primary,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Never,Several coping mechanisms (5-8),Not very safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Don't know,Don't know,Daily,Don't know,Don't know,Yes,Don't know,Don't know,Yes,Approach community leaders for support,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
Yes,60 years and older,Living with Partner,Completed primary,Yes,Fulltime caretaker,"Yes, I have difficulties",Same,Rural,No,Never,No coping mechanisms,Very safe,Very safe,Feels safe,Very uncommon,Don't know,Never,Don't know,Don't know,Yes,Don't know,Don't know,Don't know,NA,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Others,60 years and older,Widowed,Technical / vocational,No,Other,"Yes, I have difficulties",NA,Urban,No,NA,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Don't know,Not at all,2-3 times per week,Don't know,Don't know,Don't know,No,Don't know,No,NA,Yes,Seeking support from women’s groups/NGOs/CSOs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Others,18 – 29 years,Single,Completed secondary,No,Student,"No, I don’t have difficulties",NA,Urban,No,Once or twice,No coping mechanisms,Not very safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Common,A little bit,2-3 times per week,Don't know,No,Don't know,No,Don't know,Yes,Call/go to police,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Others,40 – 49 years,Living with Partner,Completed secondary,No,Fulltime caretaker,"Yes, I have difficulties",NA,Urban,No,Never,No coping mechanisms,Safe,Very safe,Feels safe,Common,Somewhat,Never,Don't know,No,Don't know,No,Don't know,Yes,Access to women’s centres,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Others,60 years and older,Widowed,Completed primary,No,Other,"Yes, I have difficulties",NA,Urban,No,Once or twice,No coping mechanisms,Not very safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Common,A little bit,Never,Don't know,Don't know,No,No,Don't know,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Others,60 years and older,Living with Partner,Completed primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Rural,No,Daily,Some coping mechanisms (1-4),Not very safe,Safe,Feels unsafe/Sometimes feels unsafe,Uncommon,Don't know,Once a week,Don't know,Don't know,No,No,Don't know,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Others,30 – 39 years,Living with Partner,Less than primary,NA,Employed,"No, I don’t have difficulties",N/A,Urban,No,Never,Several coping mechanisms (5-8),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Daily,Don't know,No,No,No,Don't know,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
Yes,18 – 29 years,Living with Partner,College,NA,Employed,"No, I don’t have difficulties",Less,Urban,No,Once or twice,Several coping mechanisms (5-8),Very safe,Very safe,Feels safe,Common,Somewhat,Daily,Don't know,Refused,Don't know,Yes,Don't know,Don't know,NA,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
Yes,30 – 39 years,Living with Partner,Completed primary,NA,Employed,"No, I don’t have difficulties",Same,Urban,No,Once or twice,No coping mechanisms,Not very safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Very common,Don't know,2-3 times per week,Don't know,Don't know,No,Yes,Don't know,Yes,Seek support from family,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Yes,18 – 29 years,Living with Partner,Completed primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Very safe,Safe,Feels safe,Common,Somewhat,2-3 times per week,Don't know,No,No,Yes,Don't know,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Yes,60 years and older,Widowed,College,Yes,Other,"Yes, I have difficulties",NA,Urban,Yes,Once or twice,No coping mechanisms,Not very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,A lot,Never,Don't know,Don't know,Yes,Yes,Don't know,Yes,Call/go to police,Yes,Call/go to police,No,No,No,No,No,No,No,No,No,No,No,0
Yes,30 – 39 years,Single,College,Yes,Unemployed,"No, I don’t have difficulties",NA,Rural,No,NA,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Uncommon,Not at all,2-3 times per week,Don't know,Don't know,Yes,Yes,Don't know,Don't know,NA,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Yes,60 years and older,Widowed,Completed secondary,No,Other,"Yes, I have difficulties",NA,Urban,Don't know,NA,Some coping mechanisms (1-4),Very safe,Very safe,Feels safe,Very common,A lot,2-3 times per week,Don't know,No,Yes,Yes,Don't know,Yes,"Other, specify",Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Yes,60 years and older,Living with Partner,College,No,Other,"No, I don’t have difficulties",NA,Urban,No,Never,Some coping mechanisms (1-4),Very safe,Don't know,DK/Refusal,Common,A lot,Daily,Don't know,No,Yes,Yes,Don't know,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
Yes,18 – 29 years,Single,College,No,Other,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,Don't know,Once or twice a month,Don't know,Yes,Yes,Yes,Don't know,No,NA,Yes,Seek help from shelter or safehouse for women,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Yes,18 – 29 years,Living with Partner,Technical / vocational,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Several coping mechanisms (5-8),Not safe at all,Don't know,DK/Refusal,Common,Don't know,Daily,Don't know,Yes,No,Yes,Don't know,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,Seeking support from women’s groups/NGOs/CSOs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
Yes,40 – 49 years,Separated / Divorced,Less than primary,NA,Employed,"Yes, I have difficulties",NA,Urban,No,Daily,Several coping mechanisms (5-8),Safe,Very safe,Feels safe,Common,Not at all,Daily,Don't know,Don't know,Yes,Yes,Don't know,Yes,Approach community leaders for support,Yes,Approach community leaders for support,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
Others,50 – 59 years,Widowed,Completed primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Monthly,No coping mechanisms,Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Don't know,Not at all,Never,Don't know,Don't know,Don't know,Don't know,No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Others,40 – 49 years,Living with Partner,Completed primary,NA,Employed,"No, I don’t have difficulties",Less,Urban,Yes,Once or twice,Several coping mechanisms (5-8),Very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,Somewhat,Daily,Don't know,Don't know,Don't know,Don't know,No,Yes,Seek support from family,Yes,Talk with friends for support or guidance,No,Yes,No,No,No,No,No,No,No,No,No,5
Others,50 – 59 years,Widowed,Less than primary,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Once or twice,No coping mechanisms,Safe,Safe,Feels safe,Don't know,Don't know,Once a week,Don't know,No,Don't know,Don't know,No,Yes,Access to women’s centres,Yes,Approach community leaders for support,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Others,30 – 39 years,Living with Partner,College,NA,Employed,"No, I don’t have difficulties",More,Urban,No,Never,No coping mechanisms,Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,Don't know,Daily,Don't know,No,No,Don't know,No,Yes,Access to women’s centres,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Others,40 – 49 years,Living with Partner,Completed secondary,NA,Employed,"No, I don’t have difficulties",Less,Urban,No,Once or twice,Some coping mechanisms (1-4),Very safe,Don't know,DK/Refusal,Common,Don't know,Daily,Don't know,No,No,Don't know,No,Yes,"Other, specify",Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Others,30 – 39 years,Living with Partner,College,NA,Employed,"No, I don’t have difficulties",Same,Urban,Yes,Weekly,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,A little bit,Daily,Don't know,No,No,Don't know,No,No,NA,No,NA,No,No,No,No,No,No,Yes,Yes,No,No,No,2
Yes,40 – 49 years,Living with Partner,Technical / vocational,NA,Employed,"No, I don’t have difficulties",N/A,Urban,No,Once or twice,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Don't know,Not at all,2-3 times per week,Don't know,Yes,No,Don't know,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Yes,60 years and older,Widowed,Completed secondary,No,Other,"Yes, I have difficulties",NA,Urban,No,Never,No coping mechanisms,Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,Somewhat,Never,Don't know,Yes,No,Don't know,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Yes,60 years and older,Widowed,Less than primary,No,Other,"Yes, I have difficulties",NA,Urban,No,NA,Several coping mechanisms (5-8),Safe,Safe,Feels safe,Common,Not at all,Once or twice a month,Don't know,Yes,Yes,Don't know,No,Yes,Seek support from family,Yes,Approach community leaders for support,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
Others,60 years and older,Widowed,Completed primary,Yes,Other,"No, I don’t have difficulties",NA,Urban,No,Weekly,Several coping mechanisms (5-8),Safe,Safe,Feels safe,Common,Somewhat,2-3 times per week,Don't know,No,Refused,No,No,Yes,Don't know,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
Others,60 years and older,Widowed,Completed primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Never,No coping mechanisms,Safe,Safe,Feels safe,Uncommon,Not at all,Once a week,Don't know,Don't know,Don't know,No,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Others,40 – 49 years,Separated / Divorced,College,No,Unemployed,"No, I don’t have difficulties",NA,Rural,No,Never,Several coping mechanisms (5-8),Very safe,Very safe,Feels safe,Don't know,Somewhat,Once a week,Don't know,Don't know,Don't know,No,No,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,Seeking support from women’s groups/NGOs/CSOs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
